Date,Value
2004-01,41
2004-02,42
2004-03,47
2004-04,44
2004-05,38
2004-06,39
2004-07,40
2004-08,41
2004-09,45
2004-10,45
2004-11,43
2004-12,37
2005-01,42
2005-02,43
2005-03,42
2005-04,45
2005-05,40
2005-06,39
2005-07,41
2005-08,42
2005-09,41
2005-10,43
2005-11,42
2005-12,37
2006-01,41
2006-02,41
2006-03,42
2006-04,42
2006-05,38
2006-06,36
2006-07,38
2006-08,38
2006-09,40
2006-10,38
2006-11,35
2006-12,32
2007-01,37
2007-02,37
2007-03,38
2007-04,37
2007-05,35
2007-06,33
2007-07,33
2007-08,34
2007-09,37
2007-10,37
2007-11,34
2007-12,31
2008-01,35
2008-02,36
2008-03,38
2008-04,36
2008-05,34
2008-06,32
2008-07,33
2008-08,34
2008-09,35
2008-10,35
2008-11,36
2008-12,33
2009-01,33
2009-02,35
2009-03,36
2009-04,35
2009-05,35
2009-06,33
2009-07,35
2009-08,36
2009-09,37
2009-10,38
2009-11,38
2009-12,34
2010-01,36
2010-02,38
2010-03,39
2010-04,39
2010-05,38
2010-06,35
2010-07,37
2010-08,38
2010-09,39
2010-10,37
2010-11,39
2010-12,36
2011-01,40
2011-02,40
2011-03,43
2011-04,40
2011-05,40
2011-06,39
2011-07,39
2011-08,41
2011-09,44
2011-10,43
2011-11,42
2011-12,38
2012-01,49
2012-02,48
2012-03,45
2012-04,47
2012-05,43
2012-06,44
2012-07,46
2012-08,47
2012-09,51
2012-10,49
2012-11,48
2012-12,45
2013-01,50
2013-02,51
2013-03,51
2013-04,52
2013-05,50
2013-06,48
2013-07,50
2013-08,52
2013-09,53
2013-10,53
2013-11,50
2013-12,49
2014-01,57
2014-02,54
2014-03,54
2014-04,54
2014-05,53
2014-06,49
2014-07,54
2014-08,54
2014-09,54
2014-10,56
2014-11,56
2014-12,52
2015-01,56
2015-02,59
2015-03,60
2015-04,58
2015-05,58
2015-06,55
2015-07,59
2015-08,63
2015-09,65
2015-10,66
2015-11,64
2015-12,62
2016-01,64
2016-02,69
2016-03,66
2016-04,71
2016-05,66
2016-06,64
2016-07,63
2016-08,68
2016-09,73
2016-10,70
2016-11,70
2016-12,67
2017-01,79
2017-02,72
2017-03,76
2017-04,76
2017-05,72
2017-06,70
2017-07,78
2017-08,79
2017-09,75
2017-10,83
2017-11,79
2017-12,79
2018-01,82
2018-02,82
2018-03,80
2018-04,79
2018-05,77
2018-06,75
2018-07,79
2018-08,80
2018-09,90
2018-10,85
2018-11,83
2018-12,83
2019-01,90
2019-02,88
2019-03,100
2019-04,86
2019-05,84
2019-06,81
2019-07,81
2019-08,92
2019-09,85
2019-10,86
2019-11,88
2019-12,80
2020-01,93
2020-02,88
2020-03,87
2020-04,89
2020-05,85
2020-06,89
2020-07,92
2020-08,92
2020-09,97
2020-10,91
2020-11,86
2020-12,86
2021-01,89
2021-02,91
2021-03,94
2021-04,89
2021-05,92
2021-06,89
2021-07,87
2021-08,95
2021-09,95
2021-10,93
2021-11,93
2021-12,78
2022-01,90
2022-02,98
2022-03,95
2022-04,96
2022-05,86
2022-06,84
2022-07,80
2022-08,86
2022-09,86
2022-10,80
2022-11,82
2022-12,82
2023-01,92
2023-02,93
2023-03,94
2023-04,90
2023-05,84
2023-06,79
2023-07,81
2023-08,88
2023-09,83
2023-10,90
2023-11,83
2023-12,75
2024-01,83
2024-02,88
2024-03,86
2024-04,85
2024-05,80
2024-06,86
2024-07,88
2024-08,84
2024-09,87
2024-10,89
2024-11,84
2024-12,78
2025-01,84
2025-02,88
2025-03,100
