Date,Value
2004-01,30
2004-02,27
2004-03,29
2004-04,27
2004-05,26
2004-06,30
2004-07,32
2004-08,31
2004-09,29
2004-10,29
2004-11,26
2004-12,20
2005-01,28
2005-02,27
2005-03,26
2005-04,25
2005-05,26
2005-06,28
2005-07,30
2005-08,24
2005-09,24
2005-10,24
2005-11,24
2005-12,18
2006-01,23
2006-02,22
2006-03,24
2006-04,21
2006-05,23
2006-06,27
2006-07,29
2006-08,24
2006-09,22
2006-10,22
2006-11,21
2006-12,15
2007-01,21
2007-02,23
2007-03,22
2007-04,20
2007-05,24
2007-06,27
2007-07,30
2007-08,24
2007-09,23
2007-10,22
2007-11,21
2007-12,14
2008-01,20
2008-02,22
2008-03,20
2008-04,21
2008-05,21
2008-06,31
2008-07,34
2008-08,26
2008-09,24
2008-10,21
2008-11,20
2008-12,15
2009-01,20
2009-02,21
2009-03,21
2009-04,20
2009-05,23
2009-06,40
2009-07,47
2009-08,29
2009-09,25
2009-10,22
2009-11,23
2009-12,16
2010-01,21
2010-02,22
2010-03,23
2010-04,22
2010-05,27
2010-06,49
2010-07,62
2010-08,44
2010-09,30
2010-10,24
2010-11,19
2010-12,14
2011-01,20
2011-02,20
2011-03,20
2011-04,18
2011-05,25
2011-06,56
2011-07,66
2011-08,40
2011-09,28
2011-10,22
2011-11,23
2011-12,14
2012-01,17
2012-02,19
2012-03,19
2012-04,19
2012-05,26
2012-06,55
2012-07,62
2012-08,38
2012-09,31
2012-10,25
2012-11,21
2012-12,15
2013-01,18
2013-02,18
2013-03,19
2013-04,20
2013-05,26
2013-06,65
2013-07,63
2013-08,35
2013-09,30
2013-10,21
2013-11,19
2013-12,14
2014-01,19
2014-02,19
2014-03,18
2014-04,20
2014-05,28
2014-06,58
2014-07,62
2014-08,37
2014-09,30
2014-10,23
2014-11,21
2014-12,15
2015-01,21
2015-02,20
2015-03,21
2015-04,19
2015-05,32
2015-06,57
2015-07,57
2015-08,31
2015-09,26
2015-10,20
2015-11,19
2015-12,15
2016-01,19
2016-02,20
2016-03,21
2016-04,23
2016-05,36
2016-06,66
2016-07,54
2016-08,38
2016-09,33
2016-10,22
2016-11,21
2016-12,16
2017-01,21
2017-02,20
2017-03,22
2017-04,24
2017-05,39
2017-06,83
2017-07,76
2017-08,41
2017-09,30
2017-10,23
2017-11,22
2017-12,17
2018-01,21
2018-02,22
2018-03,23
2018-04,24
2018-05,47
2018-06,96
2018-07,77
2018-08,41
2018-09,30
2018-10,26
2018-11,23
2018-12,18
2019-01,22
2019-02,23
2019-03,26
2019-04,27
2019-05,40
2019-06,93
2019-07,89
2019-08,53
2019-09,32
2019-10,27
2019-11,24
2019-12,19
2020-01,24
2020-02,25
2020-03,20
2020-04,17
2020-05,20
2020-06,22
2020-07,24
2020-08,25
2020-09,40
2020-10,66
2020-11,56
2020-12,39
2021-01,33
2021-02,27
2021-03,23
2021-04,21
2021-05,21
2021-06,23
2021-07,24
2021-08,31
2021-09,52
2021-10,58
2021-11,53
2021-12,39
2022-01,45
2022-02,40
2022-03,36
2022-04,28
2022-05,25
2022-06,32
2022-07,44
2022-08,70
2022-09,85
2022-10,68
2022-11,48
2022-12,30
2023-01,29
2023-02,28
2023-03,28
2023-04,27
2023-05,40
2023-06,75
2023-07,100
2023-08,78
2023-09,61
2023-10,40
2023-11,28
2023-12,22
2024-01,23
2024-02,24
2024-03,26
2024-04,27
2024-05,40
2024-06,65
2024-07,80
2024-08,66
2024-09,49
2024-10,38
2024-11,31
2024-12,23
2025-01,27
2025-02,27
2025-03,24
