Date,Value
2004-01,83
2004-02,95
2004-03,98
2004-04,100
2004-05,84
2004-06,67
2004-07,65
2004-08,67
2004-09,78
2004-10,84
2004-11,88
2004-12,76
2005-01,79
2005-02,87
2005-03,85
2005-04,88
2005-05,86
2005-06,64
2005-07,66
2005-08,59
2005-09,66
2005-10,80
2005-11,81
2005-12,74
2006-01,79
2006-02,79
2006-03,82
2006-04,79
2006-05,74
2006-06,56
2006-07,53
2006-08,55
2006-09,63
2006-10,69
2006-11,67
2006-12,59
2007-01,66
2007-02,60
2007-03,63
2007-04,64
2007-05,61
2007-06,49
2007-07,46
2007-08,46
2007-09,53
2007-10,61
2007-11,64
2007-12,53
2008-01,57
2008-02,59
2008-03,58
2008-04,60
2008-05,54
2008-06,47
2008-07,44
2008-08,43
2008-09,58
2008-10,69
2008-11,60
2008-12,56
2009-01,56
2009-02,66
2009-03,64
2009-04,58
2009-05,53
2009-06,42
2009-07,45
2009-08,44
2009-09,49
2009-10,54
2009-11,58
2009-12,50
2010-01,53
2010-02,57
2010-03,56
2010-04,54
2010-05,52
2010-06,43
2010-07,42
2010-08,44
2010-09,50
2010-10,48
2010-11,54
2010-12,45
2011-01,52
2011-02,53
2011-03,53
2011-04,52
2011-05,51
2011-06,44
2011-07,40
2011-08,44
2011-09,47
2011-10,49
2011-11,53
2011-12,45
2012-01,53
2012-02,52
2012-03,50
2012-04,53
2012-05,49
2012-06,45
2012-07,42
2012-08,44
2012-09,47
2012-10,52
2012-11,53
2012-12,45
2013-01,51
2013-02,52
2013-03,50
2013-04,53
2013-05,50
2013-06,44
2013-07,43
2013-08,41
2013-09,44
2013-10,47
2013-11,50
2013-12,46
2014-01,50
2014-02,54
2014-03,53
2014-04,53
2014-05,50
2014-06,41
2014-07,40
2014-08,53
2014-09,53
2014-10,52
2014-11,53
2014-12,50
2015-01,53
2015-02,55
2015-03,57
2015-04,58
2015-05,52
2015-06,47
2015-07,45
2015-08,46
2015-09,51
2015-10,56
2015-11,56
2015-12,51
2016-01,53
2016-02,59
2016-03,58
2016-04,57
2016-05,54
2016-06,44
2016-07,42
2016-08,45
2016-09,51
2016-10,56
2016-11,54
2016-12,53
2017-01,57
2017-02,61
2017-03,61
2017-04,60
2017-05,57
2017-06,48
2017-07,47
2017-08,52
2017-09,55
2017-10,65
2017-11,63
2017-12,55
2018-01,59
2018-02,62
2018-03,63
2018-04,60
2018-05,57
2018-06,56
2018-07,50
2018-08,49
2018-09,55
2018-10,60
2018-11,62
2018-12,58
2019-01,60
2019-02,66
2019-03,63
2019-04,58
2019-05,58
2019-06,52
2019-07,50
2019-08,50
2019-09,58
2019-10,62
2019-11,60
2019-12,54
2020-01,59
2020-02,61
2020-03,58
2020-04,62
2020-05,58
2020-06,60
2020-07,52
2020-08,53
2020-09,55
2020-10,54
2020-11,53
2020-12,49
2021-01,52
2021-02,53
2021-03,54
2021-04,50
2021-05,51
2021-06,50
2021-07,43
2021-08,45
2021-09,49
2021-10,49
2021-11,50
2021-12,45
2022-01,51
2022-02,56
2022-03,57
2022-04,59
2022-05,55
2022-06,49
2022-07,45
2022-08,45
2022-09,49
2022-10,51
2022-11,51
2022-12,52
2023-01,53
2023-02,56
2023-03,53
2023-04,50
2023-05,47
2023-06,44
2023-07,41
2023-08,42
2023-09,45
2023-10,45
2023-11,47
2023-12,43
2024-01,46
2024-02,51
2024-03,48
2024-04,50
2024-05,51
2024-06,39
2024-07,38
2024-08,39
2024-09,42
2024-10,46
2024-11,46
2024-12,41
2025-01,44
2025-02,47
2025-03,50
