Date,Value
2004-01,69
2004-02,74
2004-03,79
2004-04,81
2004-05,75
2004-06,58
2004-07,59
2004-08,58
2004-09,64
2004-10,66
2004-11,75
2004-12,65
2005-01,61
2005-02,59
2005-03,67
2005-04,69
2005-05,59
2005-06,54
2005-07,49
2005-08,50
2005-09,55
2005-10,63
2005-11,65
2005-12,76
2006-01,68
2006-02,69
2006-03,72
2006-04,67
2006-05,68
2006-06,60
2006-07,57
2006-08,55
2006-09,56
2006-10,59
2006-11,54
2006-12,55
2007-01,50
2007-02,52
2007-03,53
2007-04,50
2007-05,48
2007-06,44
2007-07,45
2007-08,45
2007-09,49
2007-10,49
2007-11,51
2007-12,49
2008-01,44
2008-02,47
2008-03,48
2008-04,44
2008-05,45
2008-06,41
2008-07,38
2008-08,40
2008-09,45
2008-10,46
2008-11,47
2008-12,47
2009-01,47
2009-02,48
2009-03,46
2009-04,50
2009-05,48
2009-06,48
2009-07,49
2009-08,50
2009-09,50
2009-10,52
2009-11,57
2009-12,53
2010-01,52
2010-02,53
2010-03,59
2010-04,58
2010-05,60
2010-06,56
2010-07,48
2010-08,51
2010-09,53
2010-10,61
2010-11,62
2010-12,57
2011-01,59
2011-02,66
2011-03,59
2011-04,64
2011-05,59
2011-06,57
2011-07,53
2011-08,57
2011-09,61
2011-10,63
2011-11,61
2011-12,58
2012-01,59
2012-02,57
2012-03,60
2012-04,59
2012-05,56
2012-06,53
2012-07,52
2012-08,55
2012-09,59
2012-10,58
2012-11,57
2012-12,55
2013-01,55
2013-02,53
2013-03,55
2013-04,55
2013-05,58
2013-06,52
2013-07,50
2013-08,52
2013-09,55
2013-10,57
2013-11,61
2013-12,58
2014-01,56
2014-02,56
2014-03,59
2014-04,65
2014-05,61
2014-06,52
2014-07,57
2014-08,57
2014-09,55
2014-10,65
2014-11,58
2014-12,59
2015-01,56
2015-02,59
2015-03,59
2015-04,58
2015-05,61
2015-06,56
2015-07,55
2015-08,52
2015-09,60
2015-10,60
2015-11,63
2015-12,58
2016-01,61
2016-02,57
2016-03,56
2016-04,58
2016-05,57
2016-06,52
2016-07,50
2016-08,48
2016-09,57
2016-10,57
2016-11,56
2016-12,55
2017-01,56
2017-02,57
2017-03,57
2017-04,58
2017-05,54
2017-06,51
2017-07,50
2017-08,51
2017-09,53
2017-10,60
2017-11,59
2017-12,56
2018-01,62
2018-02,62
2018-03,60
2018-04,60
2018-05,59
2018-06,53
2018-07,54
2018-08,56
2018-09,58
2018-10,62
2018-11,61
2018-12,60
2019-01,58
2019-02,62
2019-03,61
2019-04,58
2019-05,56
2019-06,54
2019-07,52
2019-08,52
2019-09,56
2019-10,59
2019-11,63
2019-12,58
2020-01,56
2020-02,70
2020-03,88
2020-04,86
2020-05,76
2020-06,67
2020-07,57
2020-08,56
2020-09,58
2020-10,60
2020-11,54
2020-12,53
2021-01,52
2021-02,56
2021-03,52
2021-04,50
2021-05,53
2021-06,47
2021-07,45
2021-08,47
2021-09,45
2021-10,48
2021-11,48
2021-12,48
2022-01,51
2022-02,59
2022-03,57
2022-04,62
2022-05,61
2022-06,53
2022-07,51
2022-08,50
2022-09,55
2022-10,59
2022-11,55
2022-12,57
2023-01,59
2023-02,59
2023-03,55
2023-04,54
2023-05,63
2023-06,100
2023-07,71
2023-08,61
2023-09,64
2023-10,63
2023-11,67
2023-12,59
2024-01,62
2024-02,66
2024-03,61
2024-04,57
2024-05,58
2024-06,54
2024-07,53
2024-08,50
2024-09,54
2024-10,58
2024-11,58
2024-12,55
2025-01,58
2025-02,59
2025-03,56
