Date,Value
2004-01,30
2004-02,28
2004-03,37
2004-04,27
2004-05,33
2004-06,17
2004-07,24
2004-08,33
2004-09,22
2004-10,23
2004-11,25
2004-12,21
2005-01,26
2005-02,32
2005-03,41
2005-04,25
2005-05,31
2005-06,23
2005-07,28
2005-08,25
2005-09,25
2005-10,27
2005-11,26
2005-12,21
2006-01,27
2006-02,27
2006-03,25
2006-04,27
2006-05,28
2006-06,23
2006-07,26
2006-08,27
2006-09,22
2006-10,24
2006-11,21
2006-12,17
2007-01,18
2007-02,25
2007-03,25
2007-04,24
2007-05,24
2007-06,24
2007-07,23
2007-08,21
2007-09,25
2007-10,25
2007-11,25
2007-12,19
2008-01,25
2008-02,24
2008-03,24
2008-04,24
2008-05,24
2008-06,21
2008-07,23
2008-08,24
2008-09,21
2008-10,24
2008-11,23
2008-12,18
2009-01,20
2009-02,24
2009-03,24
2009-04,23
2009-05,21
2009-06,19
2009-07,20
2009-08,22
2009-09,22
2009-10,24
2009-11,22
2009-12,17
2010-01,20
2010-02,23
2010-03,24
2010-04,23
2010-05,23
2010-06,21
2010-07,22
2010-08,21
2010-09,21
2010-10,20
2010-11,20
2010-12,14
2011-01,20
2011-02,20
2011-03,22
2011-04,22
2011-05,20
2011-06,20
2011-07,19
2011-08,20
2011-09,19
2011-10,19
2011-11,19
2011-12,14
2012-01,18
2012-02,19
2012-03,19
2012-04,19
2012-05,19
2012-06,20
2012-07,19
2012-08,19
2012-09,20
2012-10,21
2012-11,20
2012-12,15
2013-01,19
2013-02,22
2013-03,22
2013-04,23
2013-05,21
2013-06,20
2013-07,20
2013-08,19
2013-09,21
2013-10,23
2013-11,22
2013-12,17
2014-01,23
2014-02,22
2014-03,24
2014-04,22
2014-05,22
2014-06,21
2014-07,22
2014-08,21
2014-09,23
2014-10,25
2014-11,21
2014-12,18
2015-01,22
2015-02,23
2015-03,23
2015-04,24
2015-05,23
2015-06,23
2015-07,22
2015-08,21
2015-09,24
2015-10,27
2015-11,23
2015-12,18
2016-01,25
2016-02,26
2016-03,27
2016-04,27
2016-05,25
2016-06,25
2016-07,22
2016-08,22
2016-09,25
2016-10,28
2016-11,27
2016-12,21
2017-01,26
2017-02,27
2017-03,28
2017-04,28
2017-05,28
2017-06,25
2017-07,24
2017-08,23
2017-09,27
2017-10,32
2017-11,30
2017-12,23
2018-01,28
2018-02,31
2018-03,31
2018-04,32
2018-05,32
2018-06,29
2018-07,29
2018-08,29
2018-09,32
2018-10,38
2018-11,29
2018-12,28
2019-01,34
2019-02,36
2019-03,39
2019-04,40
2019-05,37
2019-06,36
2019-07,32
2019-08,33
2019-09,30
2019-10,41
2019-11,40
2019-12,32
2020-01,39
2020-02,42
2020-03,41
2020-04,45
2020-05,43
2020-06,45
2020-07,39
2020-08,40
2020-09,40
2020-10,47
2020-11,41
2020-12,40
2021-01,45
2021-02,47
2021-03,47
2021-04,47
2021-05,49
2021-06,43
2021-07,39
2021-08,45
2021-09,45
2021-10,49
2021-11,51
2021-12,42
2022-01,49
2022-02,57
2022-03,63
2022-04,61
2022-05,61
2022-06,45
2022-07,42
2022-08,45
2022-09,54
2022-10,59
2022-11,57
2022-12,44
2023-01,54
2023-02,60
2023-03,64
2023-04,57
2023-05,63
2023-06,53
2023-07,47
2023-08,51
2023-09,59
2023-10,68
2023-11,66
2023-12,49
2024-01,61
2024-02,76
2024-03,73
2024-04,78
2024-05,72
2024-06,64
2024-07,62
2024-08,61
2024-09,78
2024-10,95
2024-11,87
2024-12,74
2025-01,82
2025-02,100
2025-03,92
