Date,Value
2004-01,72
2004-02,79
2004-03,90
2004-04,87
2004-05,83
2004-06,66
2004-07,63
2004-08,63
2004-09,76
2004-10,80
2004-11,84
2004-12,67
2005-01,71
2005-02,77
2005-03,81
2005-04,83
2005-05,78
2005-06,68
2005-07,59
2005-08,58
2005-09,64
2005-10,77
2005-11,78
2005-12,61
2006-01,60
2006-02,64
2006-03,71
2006-04,71
2006-05,63
2006-06,52
2006-07,46
2006-08,47
2006-09,57
2006-10,62
2006-11,59
2006-12,50
2007-01,49
2007-02,53
2007-03,55
2007-04,63
2007-05,55
2007-06,45
2007-07,43
2007-08,47
2007-09,52
2007-10,55
2007-11,52
2007-12,43
2008-01,47
2008-02,50
2008-03,50
2008-04,55
2008-05,53
2008-06,44
2008-07,41
2008-08,39
2008-09,42
2008-10,47
2008-11,50
2008-12,42
2009-01,39
2009-02,45
2009-03,49
2009-04,67
2009-05,45
2009-06,38
2009-07,37
2009-08,40
2009-09,45
2009-10,51
2009-11,52
2009-12,40
2010-01,42
2010-02,49
2010-03,55
2010-04,54
2010-05,50
2010-06,37
2010-07,37
2010-08,39
2010-09,46
2010-10,50
2010-11,53
2010-12,39
2011-01,47
2011-02,48
2011-03,51
2011-04,52
2011-05,49
2011-06,43
2011-07,37
2011-08,40
2011-09,44
2011-10,51
2011-11,50
2011-12,40
2012-01,42
2012-02,48
2012-03,50
2012-04,51
2012-05,48
2012-06,44
2012-07,45
2012-08,46
2012-09,51
2012-10,56
2012-11,54
2012-12,63
2013-01,55
2013-02,66
2013-03,61
2013-04,68
2013-05,60
2013-06,51
2013-07,51
2013-08,49
2013-09,61
2013-10,65
2013-11,65
2013-12,56
2014-01,56
2014-02,60
2014-03,65
2014-04,65
2014-05,65
2014-06,52
2014-07,48
2014-08,58
2014-09,64
2014-10,68
2014-11,68
2014-12,58
2015-01,57
2015-02,65
2015-03,68
2015-04,68
2015-05,62
2015-06,58
2015-07,54
2015-08,58
2015-09,64
2015-10,81
2015-11,71
2015-12,64
2016-01,64
2016-02,73
2016-03,72
2016-04,79
2016-05,72
2016-06,63
2016-07,56
2016-08,56
2016-09,68
2016-10,79
2016-11,82
2016-12,72
2017-01,81
2017-02,84
2017-03,84
2017-04,87
2017-05,77
2017-06,64
2017-07,64
2017-08,63
2017-09,70
2017-10,85
2017-11,87
2017-12,73
2018-01,70
2018-02,100
2018-03,85
2018-04,83
2018-05,81
2018-06,73
2018-07,62
2018-08,66
2018-09,76
2018-10,94
2018-11,79
2018-12,74
2019-01,71
2019-02,80
2019-03,79
2019-04,78
2019-05,76
2019-06,65
2019-07,56
2019-08,71
2019-09,75
2019-10,97
2019-11,85
2019-12,75
2020-01,77
2020-02,83
2020-03,64
2020-04,71
2020-05,73
2020-06,71
2020-07,71
2020-08,68
2020-09,83
2020-10,78
2020-11,79
2020-12,67
2021-01,70
2021-02,76
2021-03,75
2021-04,77
2021-05,75
2021-06,66
2021-07,63
2021-08,65
2021-09,68
2021-10,75
2021-11,73
2021-12,66
2022-01,72
2022-02,83
2022-03,84
2022-04,97
2022-05,95
2022-06,72
2022-07,64
2022-08,61
2022-09,83
2022-10,82
2022-11,76
2022-12,71
2023-01,72
2023-02,83
2023-03,80
2023-04,83
2023-05,79
2023-06,67
2023-07,68
2023-08,61
2023-09,69
2023-10,75
2023-11,68
2023-12,64
2024-01,68
2024-02,72
2024-03,71
2024-04,73
2024-05,67
2024-06,62
2024-07,59
2024-08,57
2024-09,65
2024-10,68
2024-11,65
2024-12,60
2025-01,62
2025-02,66
2025-03,64
