Category: All categories

Week,mental health support: (Worldwide)
2020-01-26,40
2020-02-02,41
2020-02-09,40
2020-02-16,45
2020-02-23,42
2020-03-01,41
2020-03-08,34
2020-03-15,39
2020-03-22,44
2020-03-29,48
2020-04-05,44
2020-04-12,45
2020-04-19,48
2020-04-26,49
2020-05-03,47
2020-05-10,46
2020-05-17,52
2020-05-24,41
2020-05-31,49
2020-06-07,47
2020-06-14,47
2020-06-21,42
2020-06-28,38
2020-07-05,39
2020-07-12,42
2020-07-19,45
2020-07-26,38
2020-08-02,45
2020-08-09,43
2020-08-16,44
2020-08-23,41
2020-08-30,39
2020-09-06,47
2020-09-13,45
2020-09-20,46
2020-09-27,46
2020-10-04,56
2020-10-11,50
2020-10-18,43
2020-10-25,44
2020-11-01,42
2020-11-08,44
2020-11-15,45
2020-11-22,38
2020-11-29,42
2020-12-06,43
2020-12-13,38
2020-12-20,28
2020-12-27,29
2021-01-03,44
2021-01-10,43
2021-01-17,47
2021-01-24,49
2021-01-31,48
2021-02-07,46
2021-02-14,44
2021-02-21,43
2021-02-28,48
2021-03-07,46
2021-03-14,48
2021-03-21,48
2021-03-28,39
2021-04-04,39
2021-04-11,47
2021-04-18,50
2021-04-25,49
2021-05-02,49
2021-05-09,55
2021-05-16,49
2021-05-23,49
2021-05-30,44
2021-06-06,44
2021-06-13,44
2021-06-20,40
2021-06-27,36
2021-07-04,37
2021-07-11,38
2021-07-18,40
2021-07-25,44
2021-08-01,38
2021-08-08,39
2021-08-15,40
2021-08-22,40
2021-08-29,38
2021-09-05,43
2021-09-12,49
2021-09-19,51
2021-09-26,45
2021-10-03,55
2021-10-10,52
2021-10-17,50
2021-10-24,48
2021-10-31,51
2021-11-07,53
2021-11-14,55
2021-11-21,51
2021-11-28,49
2021-12-05,50
2021-12-12,43
2021-12-19,30
2021-12-26,27
2022-01-02,41
2022-01-09,48
2022-01-16,48
2022-01-23,55
2022-01-30,57
2022-02-06,60
2022-02-13,56
2022-02-20,56
2022-02-27,61
2022-03-06,55
2022-03-13,59
2022-03-20,58
2022-03-27,60
2022-04-03,59
2022-04-10,47
2022-04-17,56
2022-04-24,60
2022-05-01,62
2022-05-08,59
2022-05-15,58
2022-05-22,54
2022-05-29,45
2022-06-05,49
2022-06-12,45
2022-06-19,47
2022-06-26,46
2022-07-03,45
2022-07-10,45
2022-07-17,44
2022-07-24,44
2022-07-31,42
2022-08-07,43
2022-08-14,47
2022-08-21,48
2022-08-28,43
2022-09-04,48
2022-09-11,52
2022-09-18,48
2022-09-25,55
2022-10-02,59
2022-10-09,61
2022-10-16,62
2022-10-23,54
2022-10-30,52
2022-11-06,57
2022-11-13,57
2022-11-20,47
2022-11-27,54
2022-12-04,56
2022-12-11,50
2022-12-18,40
2022-12-25,28
2023-01-01,42
2023-01-08,53
2023-01-15,53
2023-01-22,55
2023-01-29,58
2023-02-05,60
2023-02-12,54
2023-02-19,58
2023-02-26,60
2023-03-05,64
2023-03-12,57
2023-03-19,63
2023-03-26,60
2023-04-02,56
2023-04-09,57
2023-04-16,63
2023-04-23,64
2023-04-30,62
2023-05-07,59
2023-05-14,61
2023-05-21,56
2023-05-28,52
2023-06-04,57
2023-06-11,54
2023-06-18,51
2023-06-25,48
2023-07-02,47
2023-07-09,47
2023-07-16,50
2023-07-23,49
2023-07-30,48
2023-08-06,49
2023-08-13,50
2023-08-20,47
2023-08-27,50
2023-09-03,53
2023-09-10,57
2023-09-17,61
2023-09-24,62
2023-10-01,64
2023-10-08,71
2023-10-15,62
2023-10-22,61
2023-10-29,61
2023-11-05,66
2023-11-12,67
2023-11-19,57
2023-11-26,64
2023-12-03,64
2023-12-10,56
2023-12-17,44
2023-12-24,28
2023-12-31,46
2024-01-07,59
2024-01-14,58
2024-01-21,64
2024-01-28,71
2024-02-04,70
2024-02-11,67
2024-02-18,69
2024-02-25,74
2024-03-03,73
2024-03-10,69
2024-03-17,74
2024-03-24,63
2024-03-31,66
2024-04-07,71
2024-04-14,75
2024-04-21,76
2024-04-28,76
2024-05-05,70
2024-05-12,73
2024-05-19,68
2024-05-26,62
2024-06-02,68
2024-06-09,63
2024-06-16,62
2024-06-23,58
2024-06-30,53
2024-07-07,60
2024-07-14,64
2024-07-21,62
2024-07-28,59
2024-08-04,61
2024-08-11,62
2024-08-18,66
2024-08-25,64
2024-09-01,71
2024-09-08,76
2024-09-15,81
2024-09-22,79
2024-09-29,78
2024-10-06,90
2024-10-13,84
2024-10-20,90
2024-10-27,91
2024-11-03,91
2024-11-10,94
2024-11-17,88
2024-11-24,76
2024-12-01,90
2024-12-08,84
2024-12-15,66
2024-12-22,38
2024-12-29,51
2025-01-05,69
2025-01-12,80
2025-01-19,86
2025-01-26,89
2025-02-02,92
2025-02-09,90
2025-02-16,92
2025-02-23,100
